,id,text,label
0,3113b477-4ea3-4c3f-82d7-6ae6b8c12a3b,Noi cho biet k rãnh viet voi loai ng nhu chị cùng loai não ngắn như Bảo thoi ? K bt  thi im đừng khoe xau ho?,['harassment']
1,de5cf256-3879-413d-9e33-2c3be7e2e0c1,"-Giải ngân cực nhanh
-mức vay lên đến 15tr
👉Duyệt tự động,nhanh chóng 
👉CẦN CMND+ATM
👉Hỗ trợ toàn quốc,K thẩm định,k gọi người thân 
💋ai cần vay đăng ký tại đây 
https://shorten.asia/XHHeYYhF",['dangerous_content']
2,975a369c-acc2-487c-84dd-64a4764203cf,"Thủ tục đơn giản đăng ký khoản vay giải ngân liền tay đăng ký vay theo link bên dưới
https://shorten.asia/HVBWJHf8",['dangerous_content']
3,45aa9b39-c58a-4c91-941a-fe6373d009f5,săn mãi con đen v5 cả tối k đc an ủi đc con be hjjjj,['normal']
4,99f6d7e6-b1c0-4849-9430-c60137737ead,zalo 0375841653 ae nào mua kết bạn zalo đặt hàng Uy tín Tiền Giả ,['dangerous_content']
5,6be18392-e2fc-4cb1-8141-50c62309c263, AE nào mua tiền giả kết bạn zalo 0375841653 Uy tín nhé ,['dangerous_content']
6,6c6365bd-d896-40aa-af7b-9b278b514d03,"Dạ M2 có ạ , mời bạn ghé qua chi nhánh M2 bigC hải phòng ạ",['normal']
7,cbc9a9cc-2928-49a6-989f-7577978eb302,Em chi đặt 2 thùng mà 4 ngày chưa nhận được em!,['normal']
8,2fc630ec-b90e-4927-9820-e882030419b6,Cụ bà said: biết thế k đẻ ra thằng bố nó để giờ ra nông nổi này. Thậy đúng là đẻ con dại thì thảm hại cái l*n:),['hate_speech']
9,0dc1c1ce-d497-4074-8b57-51a67406547b,Nguyễn Hồng Thúy em bơm mông vs zú hông ?? Free nha. 😂😂,['sexaully_explixit']
10,eba1c7a8-1fa9-47a9-bfc2-2582277ca69e,Lồn mẹ mày gập tao đập chết mẹ mày liền thằng đó ngu,"['harassment', 'hate_speech']"
11,caacb254-9902-4be4-9221-4c1e1fa74b70,Kem nay bao nhieu 1 hop vay chi. Mua o dau.,['normal']
12,862b28d2-4107-45ac-aba0-abee13fc8761,đấy bọn giáo sư tiến sỹ bú buồi cho chú ý đi chú ý có học đâu còn giáo sư tiến sỹ thì chữ cải cách vuông tròn việt nam đi suống là do bọn giáo sư mua bằng còn chú ý ko có học mà sáng chế ra giỏi ko con hoan hô chu việt nam có những nguoi như chú thì đất nước ta đi lên,['hate_speech']
